Rank,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Matthew Judon,3,2,3.0,0,0,1,0,0,1,27.0,27.0,17.4%,NE,12,2018
2,Lorenzo Alexander,7,0,1.0,2,0,0,0,0,1,22.5,22.5,3.0%,FA,12,2018
3,Shaquille Leonard,9,1,1.0,0,0,0,0,0,1,20.8,20.8,21.8%,FA,12,2018
4,Roquan Smith,7,4,1.0,0,0,0,0,0,1,20.0,20.0,90.5%,BAL,12,2018
5,Shaq Thompson,5,2,1.0,0,0,1,0,0,1,19.5,19.5,14.7%,CAR,12,2018
6,Preston Smith,3,5,1.5,0,0,0,0,0,1,19.3,19.3,10.7%,GB,12,2018
7,Anthony Walker Jr.,8,1,0.0,1,0,0,0,0,1,19.3,19.3,4.1%,MIA,12,2018
8,Demario Davis,5,1,1.0,0,0,1,0,0,1,18.8,18.8,22.0%,NO,12,2018
9,Tahir Whitehead,8,7,0.0,1,0,0,0,0,1,18.8,18.8,0.0%,FA,12,2018
10,Bobby Wagner,5,8,0.0,0,0,1,0,0,1,17.5,17.5,72.2%,WAS,12,2018
11,Jaylon Smith,6,0,1.0,0,0,1,0,0,1,17.0,17.0,0.2%,FA,12,2018
12,De'Vondre Campbell,6,2,0.0,0,0,0,0,0,1,15.5,15.5,20.5%,SF,12,2018
13,Kamu Grugier-Hill,6,1,0.0,0,0,0,0,0,1,14.8,14.8,7.0%,MIN,12,2018
14,Benardrick McKinney,6,4,0.0,0,0,0,0,0,1,14.5,14.5,0.0%,FA,12,2018
15,Alex Anzalone,6,0,0.0,1,0,1,0,0,1,14.5,14.5,31.4%,DET,12,2018
16,Whitney Mercilus,3,2,1.5,0,0,0,0,0,1,14.5,14.5,0.2%,FA,12,2018
17,Luke Kuechly,4,8,0.0,0,0,0,0,0,1,14.5,14.5,92.3%,FA,12,2018
18,Raekwon McMillan,6,1,0.0,0,0,1,0,0,1,13.8,13.8,0.6%,NE,12,2018
19,Danny Trevathan,7,1,0.0,0,0,0,0,0,1,13.8,13.8,0.0%,FA,12,2018
20,A.J. Klein,2,2,0.0,1,1,0,0,0,1,13.5,13.5,0.0%,FA,12,2018
21,Blake Martinez,6,6,0.0,0,0,0,0,0,1,13.5,13.5,0.0%,FA,12,2018
22,Nicholas Morrow,3,0,1.0,0,0,0,0,0,1,13.5,13.5,4.7%,BUF,12,2018
23,Joe Schobert,6,2,0.0,0,0,0,0,0,1,13.0,13.0,0.0%,FA,12,2018
24,Tremaine Edmunds,7,1,0.0,1,0,0,0,0,1,12.8,12.8,33.2%,CHI,12,2018
25,Gerald Hodges,7,3,0.0,0,0,0,0,0,1,12.8,12.8,0.0%,FA,12,2018
26,Telvin Smith Sr.,7,3,0.0,0,0,0,0,0,1,12.8,12.8,0.1%,FA,12,2018
27,Todd Davis,7,3,0.0,0,0,0,0,0,1,12.8,12.8,0.0%,FA,12,2018
28,Alec Ogletree,2,2,1.0,1,0,0,0,0,1,12.5,12.5,2.0%,FA,12,2018
29,Leighton Vander Esch,6,2,0.0,1,0,0,0,0,1,12.0,12.0,2.0%,FA,12,2018
30,Clay Matthews,4,1,0.0,0,0,0,0,0,1,11.8,11.8,0.0%,FA,12,2018
31,Terrell Suggs,0,0,0.0,1,0,0,1,1,1,11.5,11.5,0.0%,FA,12,2018
32,Kyle Van Noy,5,0,0.0,1,0,0,0,0,1,11.5,11.5,8.7%,BAL,12,2018
33,Zach Cunningham,5,2,0.0,0,0,0,0,0,1,11.5,11.5,1.7%,FA,12,2018
34,C.J. Mosley,7,1,0.0,0,0,0,0,0,1,11.3,11.3,65.6%,NYJ,12,2018
35,Fred Warner,6,1,0.0,1,0,0,0,0,1,11.3,11.3,90.1%,SF,12,2018
36,Foyesade Oluokun,5,5,0.0,0,0,0,0,0,1,11.3,11.3,94.0%,JAC,12,2018
37,Vince Williams,3,0,1.0,0,0,0,0,0,1,11.0,11.0,0.1%,FA,12,2018
38,Matt Milano,3,0,0.0,1,1,0,0,0,1,11.0,11.0,22.9%,BUF,12,2018
39,Tae Davis,3,0,1.0,0,0,0,0,0,1,11.0,11.0,0.2%,CAR,12,2018
40,Jatavis Brown,4,3,0.0,0,0,0,0,0,1,10.8,10.8,0.1%,FA,12,2018
41,Avery Williamson,3,8,0.0,0,0,0,0,0,1,10.5,10.5,0.0%,FA,12,2018
42,Kiko Alonso,4,2,0.0,0,0,0,0,0,1,10.0,10.0,0.0%,FA,12,2018
43,Barkevious Mingo,2,2,0.0,1,0,1,0,0,1,10.0,10.0,6.0%,FA,12,2018
44,Thomas Davis Sr.,4,3,0.0,1,0,0,0,0,1,9.8,9.8,0.0%,FA,12,2018
45,Cameron Wake,1,0,1.0,0,0,1,0,0,1,9.5,9.5,0.0%,FA,12,2018
46,Nigel Bradham,2,5,0.0,0,0,0,0,0,1,9.3,9.3,0.0%,FA,12,2018
47,Myles Jack,3,1,0.0,0,0,1,0,0,1,9.3,9.3,0.2%,FA,12,2018
48,Vontaze Burfict,2,6,0.0,1,0,0,0,0,1,9.0,9.0,0.0%,FA,12,2018
49,Von Miller,1,1,1.0,0,0,0,0,0,1,8.8,8.8,2.7%,BUF,12,2018
50,Harold Landry III,2,5,0.5,0,0,0,0,0,1,8.8,8.8,24.5%,TEN,12,2018
51,Elandon Roberts,3,2,0.0,0,0,0,0,0,1,8.5,8.5,15.1%,PIT,12,2018
52,Vincent Rey,3,2,0.0,0,0,0,0,0,1,8.5,8.5,0.0%,FA,12,2018
53,Shaquil Barrett,1,0,1.0,0,0,0,0,0,1,8.0,8.0,8.3%,MIA,12,2018
54,Jayon Brown,2,4,0.5,0,0,0,0,0,1,8.0,8.0,2.0%,FA,12,2018
55,Brennan Scarlett,2,1,0.0,0,0,1,0,0,1,7.8,7.8,0.0%,FA,12,2018
56,Patrick Onwuasor,3,1,0.0,0,0,0,0,0,1,7.8,7.8,0.0%,FA,12,2018
57,Devante Bond,5,0,0.0,0,0,0,0,0,1,7.5,7.5,0.0%,FA,12,2018
58,Mason Foster,2,6,0.0,0,0,0,0,0,1,7.5,7.5,0.0%,FA,12,2018
59,Antonio Morrison,3,4,0.0,0,0,0,0,0,1,7.5,7.5,0.0%,FA,12,2018
60,Josey Jewell,4,2,0.0,0,0,0,0,0,1,7.5,7.5,30.4%,CAR,12,2018
61,Christian Jones,4,2,0.0,0,0,0,0,0,1,7.5,7.5,0.0%,FA,12,2018
62,Darron Lee,4,2,0.0,0,0,0,0,0,1,7.5,7.5,0.0%,FA,12,2018
63,Jarrad Davis,1,2,0.0,0,0,0,1,0,1,7.0,7.0,0.0%,FA,12,2018
64,Wesley Woodyard,3,3,0.0,0,0,0,0,0,1,6.8,6.8,0.0%,FA,12,2018
65,Jordan Evans,3,3,0.0,0,0,0,0,0,1,6.8,6.8,0.0%,FA,12,2018
66,Derrick Morgan,2,2,0.5,0,0,0,0,0,1,6.5,6.5,0.0%,FA,12,2018
67,Brian Orakpo,2,2,0.5,0,0,0,0,0,1,6.5,6.5,0.0%,FA,12,2018
68,Devon Kennard,1,3,0.0,0,0,0,0,0,1,6.3,6.3,0.0%,FA,12,2018
69,Jamie Collins Sr.,2,2,0.0,1,0,0,0,0,1,6.0,6.0,0.0%,FA,12,2018
70,Rashaan Evans,3,2,0.0,0,0,0,0,0,1,6.0,6.0,0.2%,FA,12,2018
71,Eric Kendricks,1,6,0.0,0,0,0,0,0,1,6.0,6.0,32.2%,DAL,12,2018
72,Chandler Jones,2,1,0.5,0,0,0,0,0,1,5.8,5.8,0.6%,FA,12,2018
73,Za'Darius Smith,2,0,0.0,0,0,0,0,0,1,5.5,5.5,5.3%,CLE,12,2018
74,Zach Brown,3,1,0.0,0,0,0,0,0,1,5.3,5.3,0.0%,FA,12,2018
75,L.J. Fort,3,1,0.0,0,0,0,0,0,1,5.3,5.3,0.0%,FA,12,2018
76,Jason Cabinda,3,1,0.0,0,0,0,0,0,1,5.3,5.3,0.0%,FA,12,2018
77,Genard Avery,3,1,0.0,0,0,0,0,0,1,5.3,5.3,0.0%,IND,12,2018
78,Jon Bostic,3,1,0.0,0,0,0,0,0,1,5.3,5.3,0.0%,FA,12,2018
79,Lorenzo Carter,2,0,0.0,1,0,0,0,0,1,4.5,4.5,1.9%,ATL,12,2018
80,Kenny Young,2,0,0.0,1,0,0,0,0,1,4.5,4.5,0.0%,FA,12,2018
81,Nate Gerry,2,2,0.0,0,0,0,0,0,1,4.5,4.5,0.0%,FA,12,2018
82,Jordan Jenkins,2,2,0.0,0,0,0,0,0,1,4.5,4.5,0.0%,FA,12,2018
83,Matthew Adams,3,0,0.0,0,0,0,0,0,1,4.5,4.5,0.2%,NYG,12,2018
84,Bradley Chubb,1,3,0.0,0,0,0,0,0,1,3.8,3.8,18.1%,MIA,12,2018
85,Malcolm Smith,2,1,0.0,0,0,0,0,0,1,3.8,3.8,0.0%,FA,12,2018
86,Jerome Baker,2,1,0.0,0,0,0,0,0,1,3.8,3.8,14.2%,SEA,12,2018
87,Robert Quinn,2,1,0.0,0,0,0,0,0,1,3.8,3.8,1.2%,FA,12,2018
88,Austin Calitro,2,1,0.0,0,0,0,0,0,1,3.8,3.8,0.0%,FA,12,2018
89,Duke Riley,2,1,0.0,0,0,0,0,0,1,3.8,3.8,4.0%,MIA,12,2018
90,Riley Bullough,2,1,0.0,0,0,0,0,0,1,3.8,3.8,0.0%,FA,12,2018
91,Reggie Gilbert,1,0,0.0,1,0,0,0,0,1,3.0,3.0,0.1%,FA,12,2018
92,Josh Bynes,1,2,0.0,0,0,0,0,0,1,3.0,3.0,0.0%,FA,12,2018
93,Uchenna Nwosu,1,0,0.0,1,0,0,0,0,1,3.0,3.0,17.7%,SEA,12,2018
94,Adarius Taylor,1,0,0.0,1,0,0,0,0,1,3.0,3.0,0.0%,FA,12,2018
95,Kyler Fackrell,2,0,0.0,0,0,0,0,0,1,3.0,3.0,0.0%,FA,12,2018
96,Marquel Lee,1,0,0.0,1,0,0,0,0,1,3.0,3.0,0.0%,FA,12,2018
97,Frankie Luvu,0,3,0.0,0,0,0,0,0,1,2.3,2.3,44.5%,WAS,12,2018
98,Su'a Cravens,1,1,0.0,0,0,0,0,0,1,2.3,2.3,0.0%,FA,12,2018
99,Peter Kalambayi,1,1,0.0,0,0,0,0,0,1,2.3,2.3,0.0%,FA,12,2018
100,Markus Golden,1,1,0.0,0,0,0,0,0,1,2.3,2.3,0.6%,FA,12,2018
101,B.J. Goodson,1,1,0.0,0,0,0,0,0,1,2.3,2.3,0.1%,FA,12,2018
102,Kareem Martin,1,0,0.0,0,0,0,0,0,1,1.5,1.5,0.0%,FA,12,2018
103,Leonard Floyd,0,2,0.0,0,0,0,0,0,1,1.5,1.5,5.1%,SF,12,2018
104,Jordan Willis,1,0,0.0,0,0,0,0,0,1,1.5,1.5,1.0%,FA,12,2018
105,Khalil Mack,1,0,0.0,0,0,0,0,0,1,1.5,1.5,52.9%,LAC,12,2018
106,Anthony Barr,1,0,0.0,0,0,0,0,0,1,1.5,1.5,0.0%,FA,12,2018
107,T.J. Watt,1,0,0.0,0,0,0,0,0,1,1.5,1.5,78.7%,PIT,12,2018
108,Leon Jacobs,1,0,0.0,0,0,0,0,0,1,1.5,1.5,0.0%,FA,12,2018
109,Bruce Carter,1,0,0.0,0,0,0,0,0,1,1.5,1.5,0.0%,FA,12,2018
110,Hayes Pullard III,1,0,0.0,0,0,0,0,0,1,1.5,1.5,0.0%,FA,12,2018
111,Vic Beasley Jr.,1,0,0.0,0,0,0,0,0,1,1.5,1.5,0.0%,FA,12,2018
112,Damien Wilson,1,0,0.0,0,0,0,0,0,1,1.5,1.5,0.0%,DAL,12,2018
113,Mark Nzeocha,0,2,0.0,0,0,0,0,0,1,1.5,1.5,0.0%,FA,12,2018
114,Brian Peters,0,2,0.0,0,0,0,0,0,1,1.5,1.5,0.0%,FA,12,2018
115,Shilique Calhoun,0,1,0.0,0,0,0,0,0,1,0.8,0.8,0.0%,FA,12,2018
116,Kamalei Correa,0,1,0.0,0,0,0,0,0,1,0.8,0.8,0.0%,FA,12,2018
117,Shane Ray,0,1,0.0,0,0,0,0,0,1,0.8,0.8,1.0%,FA,12,2018
118,Keishawn Bierria,0,1,0.0,0,0,0,0,0,1,0.8,0.8,0.0%,FA,12,2018
119,John Simon,0,1,0.0,0,0,0,0,0,1,0.8,0.8,0.0%,FA,12,2018
120,Sharif Finch,0,1,0.0,0,0,0,0,0,1,0.8,0.8,0.0%,FA,12,2018
121,Dont'a Hightower,0,1,0.0,0,0,0,0,0,1,0.8,0.8,1.0%,FA,12,2018
122,Hardy Nickerson Jr.,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2018
123,Julian Stanford,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2018
124,Craig Robertson,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2018
125,Albert McClellan,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2018
126,LaRoy Reynolds,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2018
127,Kemal Ishmael,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2018
128,Ray-Ray Armstrong,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2018
129,Benson Mayowa,0,0,0.0,0,0,0,1,0,1,0.0,0.0,0.0%,FA,12,2018
130,Kevin Minter,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2018
131,Nick Bellore,0,0,0.0,0,0,0,0,0,1,0.0,0.0,7.0%,FA,12,2018
132,Najee Goode,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2018
133,Korey Toomer,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2018
134,Nate Stupar,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2018
135,Kyle Wilber,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2018
136,Melvin Ingram III,1,1,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2018
137,Andre Branch,2,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2018
138,Bruce Irvin,1,0,0.0,0,0,0,0,0,1,0.0,0.0,0.2%,FA,12,2018
139,Deon Lacey,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2018
140,Will Compton,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2018
141,Brandon Copeland,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2018
142,Jadeveon Clowney,2,1,0.5,0,0,0,0,0,1,0.0,0.0,22.5%,CAR,12,2018
143,Cassius Marsh,3,0,0.0,0,0,0,0,0,1,0.0,0.0,1.0%,FA,12,2018
144,Daren Bates,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2018
145,Maurice Alexander,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2018
146,Kevin Pierre-Louis,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2018
147,Chris Smith,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2018
148,Dekoda Watson,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2018
149,Brooks Reed,4,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2018
150,Kelvin Sheppard,0,0,0.0,0,0,0,0,0,1,0.0,0.0,1.0%,FA,12,2018
151,Brandon Williams,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2018
152,Ramon Humber,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2018
153,Connor Barwin,1,1,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2018
154,Jason Pierre-Paul,3,0,1.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2018
155,Zak DeOssie,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2018
156,Chris Long,1,0,1.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2018
157,Eric Wilson,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.6%,GB,12,2018
158,Ryan Anderson,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2018
159,Tashawn Bower,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2018
160,Elijah Lee,6,1,0.0,1,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2018
161,Josh Harvey-Clemons,1,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2018
162,Dawuane Smoot,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.4%,BUF,12,2018
163,Blair Brown,0,0,0.0,0,0,0,0,0,1,0.0,0.0,1.0%,FA,12,2018
164,Ukeme Eligwe,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2018
165,Joe Jones,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2018
166,Isaiah Irving,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2018
167,Brandon Bell,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2018
168,Thomas Hennessy,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,NYJ,12,2018
169,Luke Rhodes,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,IND,12,2018
170,Reid Ferguson,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,BUF,12,2018
171,Takk McKinley,0,0,0.0,0,0,0,0,0,1,0.0,0.0,2.0%,NYJ,12,2018
172,Haason Reddick,3,5,0.0,0,0,0,0,0,1,0.0,0.0,17.4%,NYJ,12,2018
173,Tyus Bowser,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.6%,FA,12,2018
174,Tanner Vallejo,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2018
175,Kameron Canaday,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2018
176,Nick DeLuca,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2018
177,D'Juan Hines,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2018
178,Marcell Harris,1,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2018
179,Jacob Martin,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.4%,CHI,12,2018
180,Trent Sieg,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,DAL,12,2018
181,Chris Board,0,0,0.0,0,0,0,0,0,1,0.0,0.0,1.5%,BAL,12,2018
182,James Crawford,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2018
183,Jermaine Carter Jr.,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2018
184,Corey Thompson,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2018
185,Dennis Gardeck,0,0,0.0,0,0,0,0,0,1,0.0,0.0,3.5%,ARI,12,2018
186,Ezekiel Turner,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.2%,SF,12,2018
187,Arden Key,2,1,0.0,0,0,0,0,0,1,0.0,0.0,2.5%,TEN,12,2018
188,Marcus Davenport,1,0,0.0,0,0,0,0,0,1,0.0,0.0,2.1%,DET,12,2018
189,Malik Jefferson,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2018
190,Tre'Von Johnson,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2018
191,Zaire Franklin,0,0,0.0,0,0,0,0,0,1,0.0,0.0,91.7%,IND,12,2018
192,Kylie Fitts,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2018
193,Joel Iyiegbuniwe,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2018
194,Hunter Bradley,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2018
195,Oren Burks,0,0,0.0,0,0,0,0,0,1,0.0,0.0,3.5%,PHI,12,2018
196,Devante Downs,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2018
197,Marquis Haynes Sr.,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.6%,FA,12,2018
198,Skai Moore,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2018
199,Jordan Thomas,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2018
200,Shaun Dion Hamilton,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2018
201,Shaquem Griffin,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.1%,FA,12,2018
202,Martrell Spaight,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2018
203,D.J. Alexander,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2018
204,David Mayo,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2018
205,Kyle Emanuel,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2018
206,Anthony Chickillo,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2018
207,Nick Dzubnar,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2018
208,Frank Clark,1,2,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2018
209,Mike Hull,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2018
210,Justin March-Lillard,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2018
211,Bud Dupree,0,0,0.0,0,0,0,0,0,1,0.0,0.0,1.2%,LAC,12,2018
212,Ben Jacobs,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2018
213,Randy Gregory,1,0,0.0,0,0,0,0,0,1,0.0,0.0,2.3%,TB,12,2018
214,Landon Collins,7,2,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2018
215,Eli Harold,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2018
216,Danielle Hunter,2,2,0.0,0,0,0,0,0,1,0.0,0.0,52.9%,HOU,12,2018
217,Stephone Anthony,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2018
218,Trey Flowers,1,1,1.0,0,0,0,0,0,1,0.0,0.0,0.2%,FA,12,2018
