Rank,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT.1,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Mitchell Trubisky,23,30,76.7,355,11.8,3,0,1,3,18,1,0,1,36.0,36.0,1.1%,BUF,10,2018
2,Ben Roethlisberger,22,25,88.0,328,13.1,5,0,1,3,27,0,0,1,35.8,35.8,13.6%,FA,10,2018
3,Drew Brees,22,25,88.0,265,10.6,3,0,0,2,3,1,0,1,28.9,28.9,35.7%,FA,10,2018
4,Russell Wilson,17,26,65.4,176,6.8,3,0,4,9,92,0,1,1,26.2,26.2,30.9%,PIT,10,2018
5,Baker Mayfield,17,20,85.0,216,10.8,3,0,0,6,20,0,0,1,22.6,22.6,43.7%,TB,10,2018
6,Marcus Mariota,16,24,66.7,228,9.5,2,0,2,2,21,0,0,1,22.3,22.3,3.2%,WAS,10,2018
7,Dak Prescott,26,36,72.2,270,7.5,1,0,4,6,9,1,0,1,21.7,21.7,96.3%,DAL,10,2018
8,Blake Bortles,26,38,68.4,320,8.4,2,0,0,2,8,0,0,1,21.6,21.6,0.0%,FA,10,2018
9,Andrew Luck,21,29,72.4,285,9.8,3,1,0,5,-2,0,0,1,21.2,21.2,2.2%,FA,10,2018
10,Carson Wentz,32,44,72.7,360,8.2,2,1,2,2,7,0,0,1,21.1,21.1,0.7%,KC,10,2018
11,Jared Goff,28,39,71.8,318,8.2,2,0,2,3,3,0,0,1,21.0,21.0,70.6%,DET,10,2018
12,Matt Ryan,38,52,73.1,330,6.3,2,0,2,3,13,0,1,1,20.5,20.5,0.1%,FA,10,2018
13,Patrick Mahomes II,21,28,75.0,249,8.9,2,0,5,4,21,0,0,1,20.1,20.1,99.4%,KC,10,2018
14,Eli Manning,19,31,61.3,188,6.1,3,0,1,0,0,0,0,1,19.5,19.5,2.3%,FA,10,2018
15,Aaron Rodgers,19,28,67.9,199,7.1,2,0,2,6,21,0,0,1,18.1,18.1,50.2%,NYJ,10,2018
16,Matt Barkley,15,25,60.0,232,9.3,2,0,1,3,-2,0,0,1,17.1,17.1,0.0%,FA,10,2018
17,Matthew Stafford,25,42,59.5,274,6.5,2,2,6,2,9,0,0,1,15.9,15.9,57.6%,LAR,10,2018
18,Philip Rivers,18,26,69.2,223,8.6,2,1,1,1,1,0,0,1,15.0,15.0,20.6%,FA,10,2018
19,Cam Newton,23,29,79.3,193,6.7,2,1,5,2,10,0,0,1,14.7,14.7,9.1%,FA,10,2018
20,Ryan Fitzpatrick,29,41,70.7,406,9.9,0,2,2,8,35,0,1,1,13.7,13.7,0.0%,FA,10,2018
21,Alex Smith,19,27,70.4,178,6.6,1,0,3,2,16,0,0,1,12.7,12.7,5.0%,FA,10,2018
22,Tom Brady,21,41,51.2,254,6.2,0,0,3,1,0,0,0,1,11.8,11.8,2.7%,FA,10,2018
23,Jeff Driskel,2,3,66.7,45,15.0,0,0,0,2,35,1,0,1,11.3,11.3,0.0%,WAS,10,2018
24,Nick Mullens,27,39,69.2,250,6.4,1,2,0,2,1,0,0,1,10.1,10.1,4.1%,MIN,10,2018
25,Josh Rosen,22,39,56.4,208,5.3,1,2,5,1,-1,0,0,1,8.2,8.2,0.0%,FA,10,2018
26,Derek Carr,24,37,64.9,243,6.6,0,0,4,2,2,0,1,1,7.9,7.9,25.1%,NO,10,2018
27,Andy Dalton,12,20,60.0,153,7.7,1,2,4,1,8,0,0,1,6.9,6.9,0.2%,CAR,10,2018
28,Brock Osweiler,23,37,62.2,213,5.8,0,1,6,1,0,0,1,1,4.5,4.5,0.0%,FA,10,2018
29,Taysom Hill,0,1,0.0,0,0.0,0,0,0,4,24,0,0,1,2.4,2.4,36.8%,NO,10,2018
30,Josh McCown,17,34,50.0,135,4.0,0,2,3,1,4,0,0,1,1.8,1.8,0.0%,FA,10,2018
31,Brian Hoyer,1,1,100.0,7,7.0,0,0,0,1,2,0,0,1,0.5,0.5,0.0%,FA,10,2018
32,Taylor Heinicke,0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,3.1%,ATL,10,2018
33,Joshua Dobbs,1,2,50.0,-3,-1.5,0,0,0,0,0,0,0,1,-0.1,-0.1,11.2%,SF,10,2018
34,Teddy Bridgewater,0,1,0.0,0,0.0,0,0,0,3,-3,0,0,1,-0.3,-0.3,0.1%,FA,10,2018
