Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Jared Cook,8,13,110,13.8,24,1,2,0,0,0,0,1,31.0,31.0,0.0%,FA,4,2018
2,George Kittle,6,8,125,20.8,82,4,1,0,0,0,0,1,24.5,24.5,97.3%,SF,4,2018
3,Zach Ertz,10,14,112,11.2,24,1,0,0,0,0,0,1,21.2,21.2,3.7%,WAS,4,2018
4,Travis Kelce,7,12,78,11.1,29,1,1,0,0,0,0,1,20.8,20.8,99.9%,KC,4,2018
5,Trey Burton,2,4,86,43.0,47,5,1,0,0,0,0,1,16.6,16.6,0.0%,FA,4,2018
6,Eric Ebron,5,10,40,8.0,12,0,1,0,0,0,0,1,15.0,15.0,0.0%,FA,4,2018
7,Tyler Eifert,4,4,38,9.5,15,0,1,0,0,0,0,1,13.8,13.8,0.0%,FA,4,2018
8,Geoff Swaim,3,5,39,13.0,31,2,1,0,0,0,0,1,12.9,12.9,0.0%,FA,4,2018
9,Darren Fells,1,2,49,49.0,49,3,1,0,0,0,0,1,11.9,11.9,0.0%,FA,4,2018
10,Cameron Brate,3,4,29,9.7,16,0,1,0,0,0,0,1,11.9,11.9,2.0%,FA,4,2018
11,Jimmy Graham,3,6,21,7.0,13,0,1,0,0,0,0,1,11.1,11.1,0.0%,FA,4,2018
12,Antonio Gates,2,4,27,13.5,22,1,1,0,0,0,0,1,10.7,10.7,0.2%,FA,4,2018
13,Kyle Rudolph,5,6,57,11.4,24,1,0,0,0,0,0,1,10.7,10.7,0.0%,FA,4,2018
14,Jordan Leggett,3,4,13,4.3,9,0,1,0,0,0,0,1,10.3,10.3,0.0%,FA,4,2018
15,David Njoku,5,7,52,10.4,14,0,0,0,0,0,0,1,10.2,10.2,94.0%,CLE,4,2018
16,Maxx Williams,5,5,51,10.2,22,1,0,0,0,0,0,1,10.1,10.1,0.0%,FA,4,2018
17,Jeff Heuerman,4,7,57,14.3,36,2,0,0,0,0,0,1,9.7,9.7,0.0%,FA,4,2018
18,Josh Hill,3,3,63,21.0,22,3,0,0,0,0,0,1,9.3,9.3,0.0%,FA,4,2018
19,Vance McDonald,5,5,62,12.4,33,2,0,0,0,0,1,1,9.2,9.2,0.0%,FA,4,2018
20,Logan Paulsen,1,1,17,17.0,17,0,1,0,0,0,0,1,8.7,8.7,0.0%,FA,4,2018
21,Rob Gronkowski,4,7,44,11.0,14,0,0,0,0,0,0,1,8.4,8.4,1.5%,FA,4,2018
22,Charles Clay,4,6,40,10.0,17,0,0,0,0,0,0,1,8.0,8.0,0.0%,FA,4,2018
23,Demetrius Harris,2,3,59,29.5,35,3,0,0,0,0,0,1,7.9,7.9,0.0%,FA,4,2018
24,Ricky Seals-Jones,2,4,52,26.0,31,3,0,0,0,0,0,1,7.2,7.2,0.0%,FA,4,2018
25,Nick Boyle,3,5,36,12.0,19,0,0,0,0,0,0,1,6.6,6.6,0.0%,FA,4,2018
