Rank,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Carlos Dunlap II,4,1,2.5,1,0,1,0,0,1,27.3,27.3,3.0%,FA,18,2019
2,Montez Sweat,5,0,2.0,0,0,1,0,0,1,24.5,24.5,35.6%,CHI,18,2019
3,Jason Pierre-Paul,4,0,2.0,1,0,1,0,0,1,22.0,22.0,0.0%,FA,18,2019
4,Maxx Crosby,4,1,1.5,1,0,1,0,0,1,20.8,20.8,69.0%,LV,18,2019
5,Ifeadi Odenigbo,3,3,1.0,0,0,1,1,0,1,18.8,18.8,4.0%,NYJ,18,2019
6,Carl Lawson,3,1,2.0,0,0,0,0,0,1,18.3,18.3,0.0%,FA,18,2019
7,Jonathan Allen,7,1,1.0,0,0,0,0,0,1,17.8,17.8,14.9%,WAS,18,2019
8,Taven Bryan,3,1,1.0,1,0,1,0,0,1,17.3,17.3,0.2%,IND,18,2019
9,Trent Murphy,2,1,2.0,0,0,0,0,0,1,16.8,16.8,0.0%,FA,18,2019
10,Brandon Graham,3,0,1.0,0,0,0,0,0,1,16.0,16.0,2.3%,PHI,18,2019
11,Derek Barnett,2,0,2.0,0,0,0,0,0,1,16.0,16.0,0.4%,HOU,18,2019
12,Sam Hubbard,3,3,1.5,0,0,0,0,0,1,15.3,15.3,21.9%,CIN,18,2019
13,Trent Harris,5,1,1.0,0,0,0,0,0,1,14.8,14.8,0.0%,FA,18,2019
14,Dawuane Smoot,2,0,1.0,0,0,0,1,0,1,13.5,13.5,0.4%,BUF,18,2019
15,Corey Liuget,5,1,0.0,0,0,0,0,0,1,13.3,13.3,0.0%,FA,18,2019
16,Stephen Weatherly,2,5,1.0,0,0,0,0,0,1,13.3,13.3,0.0%,FA,18,2019
17,Larry Ogunjobi,5,1,0.0,0,0,0,0,0,1,13.3,13.3,2.3%,PIT,18,2019
18,Cameron Heyward,3,1,1.0,1,0,0,0,0,1,13.3,13.3,23.1%,PIT,18,2019
19,Calais Campbell,1,1,0.0,0,0,0,1,1,1,12.3,12.3,2.9%,MIA,18,2019
20,DeForest Buckner,2,2,1.0,0,0,0,0,0,1,11.0,11.0,47.6%,IND,18,2019
21,Armon Watts,1,2,1.0,0,0,1,0,0,1,11.0,11.0,0.8%,NE,18,2019
22,Jurrell Casey,2,2,1.0,0,0,0,0,0,1,11.0,11.0,0.1%,FA,18,2019
23,Jacob Tuioti-Mariner,3,0,0.0,0,0,1,0,0,1,11.0,11.0,0.0%,FA,18,2019
24,Davon Godchaux,3,1,0.0,0,0,0,0,0,1,10.3,10.3,4.4%,NE,18,2019
25,Mario Edwards Jr.,2,1,1.0,0,0,0,0,0,1,10.3,10.3,0.0%,HOU,18,2019
26,Michael Pierce,2,1,0.0,0,0,0,1,0,1,10.3,10.3,1.9%,BAL,18,2019
27,Derick Roberson,2,1,1.0,0,0,0,0,0,1,10.3,10.3,0.0%,FA,18,2019
28,Vita Vea,2,1,1.0,0,0,0,0,0,1,10.3,10.3,5.8%,TB,18,2019
29,Tim Jernigan,2,1,1.0,0,0,0,0,0,1,10.3,10.3,0.0%,FA,18,2019
30,Frank Clark,1,1,1.0,1,0,0,0,0,1,10.3,10.3,0.0%,FA,18,2019
31,Quinton Jefferson,2,1,1.0,0,0,0,0,0,1,10.3,10.3,3.4%,CLE,18,2019
