Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,New Orleans Saints,4,1,1,1,0,0,0,1,18.0,18.0,64.0%,NO,15,2021
2,Dallas Cowboys,1,3,1,1,0,0,0,1,16.0,16.0,92.7%,DAL,15,2021
3,Pittsburgh Steelers,4,1,3,3,0,0,0,1,16.0,16.0,75.9%,PIT,15,2021
4,Minnesota Vikings,3,0,3,3,0,0,0,1,15.0,15.0,10.9%,MIN,15,2021
5,Indianapolis Colts,1,2,0,1,0,0,1,1,14.0,14.0,26.4%,IND,15,2021
6,New York Jets,1,2,1,0,1,0,0,1,12.0,12.0,82.4%,NYJ,15,2021
7,Houston Texans,3,0,0,0,0,0,1,1,10.0,10.0,31.9%,HOU,15,2021
8,Miami Dolphins,6,0,1,1,0,0,0,1,9.0,9.0,69.9%,MIA,15,2021
9,Los Angeles Rams,3,1,0,0,0,0,0,1,9.0,9.0,21.2%,LAR,15,2021
10,San Francisco 49ers,3,0,1,1,0,0,0,1,9.0,9.0,97.8%,SF,15,2021
11,Cincinnati Bengals,3,0,1,1,0,0,0,1,9.0,9.0,50.0%,CIN,15,2021
12,Detroit Lions,2,1,0,0,0,0,0,1,8.0,8.0,38.6%,DET,15,2021
13,Seattle Seahawks,4,1,0,0,0,0,0,1,7.0,7.0,22.4%,SEA,15,2021
14,Washington Commanders,3,1,1,1,0,0,0,1,7.0,7.0,8.1%,WAS,15,2021
15,Chicago Bears,4,1,0,1,0,0,0,1,7.0,7.0,33.9%,CHI,15,2021
16,Buffalo Bills,4,1,0,1,0,0,0,1,7.0,7.0,61.3%,BUF,15,2021
17,Cleveland Browns,2,1,1,2,0,0,0,1,7.0,7.0,94.2%,CLE,15,2021
18,Tampa Bay Buccaneers,2,0,0,1,0,0,0,1,6.0,6.0,20.8%,TB,15,2021
19,New York Giants,3,0,1,2,0,0,0,1,5.0,5.0,2.4%,NYG,15,2021
20,Carolina Panthers,4,1,0,1,0,0,0,1,5.0,5.0,3.0%,CAR,15,2021
21,Tennessee Titans,3,0,0,0,0,0,0,1,4.0,4.0,3.5%,TEN,15,2021
22,Denver Broncos,3,0,0,0,0,0,0,1,4.0,4.0,34.5%,DEN,15,2021
23,Los Angeles Chargers,1,1,1,1,0,0,0,1,4.0,4.0,13.8%,LAC,15,2021
24,Arizona Cardinals,2,0,1,1,0,0,0,1,3.0,3.0,0.8%,ARI,15,2021
25,Philadelphia Eagles,2,0,0,2,0,0,0,1,3.0,3.0,51.6%,PHI,15,2021
26,Kansas City Chiefs,0,1,1,1,0,0,0,1,3.0,3.0,77.7%,KC,15,2021
27,New England Patriots,1,1,0,0,0,0,0,1,3.0,3.0,13.6%,NE,15,2021
28,Baltimore Ravens,3,0,0,0,0,0,0,1,2.0,2.0,86.2%,BAL,15,2021
29,Jacksonville Jaguars,1,1,0,0,0,0,0,1,2.0,2.0,50.2%,JAC,15,2021
30,Las Vegas Raiders,0,0,0,0,0,0,0,1,1.0,1.0,24.5%,LV,15,2021
31,Atlanta Falcons,0,0,1,0,0,0,0,1,1.0,1.0,16.7%,ATL,15,2021
32,Green Bay Packers,1,0,0,0,0,0,0,1,0.0,0.0,26.4%,GB,15,2021
