Rank,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Kenny Moore II,7,3,1.5,0,0,0,0,0,1,26.3,26.3,29.4%,IND,7,2023
2,Camryn Bynum,7,2,0.0,2,2,0,0,0,1,25.0,25.0,54.8%,MIN,7,2023
3,Jaylon Johnson,2,1,0.0,2,2,0,0,1,1,22.8,22.8,4.7%,CHI,7,2023
4,Julian Blackmon,4,1,0.0,2,1,0,0,0,1,19.8,19.8,14.2%,IND,7,2023
5,Jamel Dean,9,1,0.0,0,0,0,1,0,1,18.3,18.3,13.2%,TB,7,2023
6,Darius Slay Jr.,4,0,0.0,2,1,0,0,0,1,16.5,16.5,10.0%,PHI,7,2023
7,Dean Marlowe,10,2,0.0,0,0,0,0,0,1,16.5,16.5,0.2%,FA,7,2023
8,Jordan Poyer,4,5,1.0,0,0,0,0,0,1,16.3,16.3,26.5%,MIA,7,2023
9,Arthur Maulet,6,1,1.0,0,0,0,0,0,1,16.3,16.3,0.8%,BAL,7,2023
10,Richie Grant,5,3,0.0,1,1,0,0,0,1,16.3,16.3,13.2%,ATL,7,2023
11,Paulson Adebo,5,2,0.0,2,0,1,0,0,1,16.0,16.0,27.7%,NO,7,2023
12,Jaquan Brisker,9,1,0.0,1,0,0,0,0,1,15.8,15.8,46.6%,CHI,7,2023
13,Jabrill Peppers,4,4,0.0,1,1,0,0,0,1,15.5,15.5,10.3%,NE,7,2023
14,Deonte Banks,5,2,0.0,1,1,0,0,0,1,15.5,15.5,13.4%,NYG,7,2023
15,Grant Delpit,7,3,0.0,0,0,0,0,0,1,15.3,15.3,21.4%,CLE,7,2023
16,Charvarius Ward,4,1,0.0,2,1,0,0,0,1,14.8,14.8,30.5%,SF,7,2023
17,L'Jarius Sneed,5,1,0.0,1,1,0,0,0,1,14.8,14.8,48.3%,TEN,7,2023
18,Kerby Joseph,9,1,0.0,0,0,0,0,0,1,14.3,14.3,10.5%,DET,7,2023
19,Jason Pinnock,4,2,1.0,0,0,0,0,0,1,14.0,14.0,15.2%,NYG,7,2023
20,Antoine Winfield Jr.,4,3,0.0,1,0,1,0,0,1,13.8,13.8,70.3%,TB,7,2023
21,Tyrique Stevenson,6,0,0.0,3,0,0,0,0,1,13.5,13.5,12.9%,CHI,7,2023
22,Kyle Dugger,7,0,0.0,0,0,0,0,0,1,13.0,13.0,23.2%,NE,7,2023
23,Terrell Edmunds,8,1,0.0,0,0,0,0,0,1,12.8,12.8,1.1%,JAC,7,2023
24,Minkah Fitzpatrick,6,5,0.0,0,0,0,0,0,1,12.8,12.8,36.6%,PIT,7,2023
25,Benjamin St-Juste,4,1,0.0,4,0,0,0,0,1,12.8,12.8,7.0%,WAS,7,2023
26,Bryan Cook,3,2,0.0,1,1,0,0,0,1,12.5,12.5,3.3%,KC,7,2023
27,Denzel Ward,4,0,0.0,1,1,0,0,0,1,12.5,12.5,5.3%,CLE,7,2023
28,Harrison Smith,3,3,0.0,1,0,1,0,0,1,12.3,12.3,18.5%,MIN,7,2023
