Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Riley Patterson,4,5,80.0,52,0,0,2,1,1,2,2,1,17.0,17.0,13.1%,JAC,8,2023
2,Brandon McManus,4,4,100.0,51,0,0,2,0,2,0,0,1,16.0,16.0,18.3%,FA,8,2023
3,Cameron Dicker,3,3,100.0,53,0,0,0,2,1,3,3,1,16.0,16.0,50.4%,LAC,8,2023
4,Brandon Aubrey,2,2,100.0,58,0,1,0,0,1,5,5,1,13.0,13.0,96.9%,DAL,8,2023
5,Younghoe Koo,3,3,100.0,49,0,1,1,1,0,2,2,1,12.0,12.0,61.7%,ATL,8,2023
6,Harrison Butker,3,3,100.0,56,0,1,1,0,1,0,0,1,11.0,11.0,96.2%,KC,8,2023
7,Eddy Pineiro,3,3,100.0,46,0,1,1,1,0,0,1,1,10.0,10.0,1.5%,CAR,8,2023
8,Matt Gay,2,2,100.0,42,0,1,0,1,0,3,3,1,10.0,10.0,28.9%,IND,8,2023
9,Jake Elliott,1,1,100.0,51,0,0,0,0,1,5,5,1,10.0,10.0,93.5%,PHI,8,2023
10,Evan McPherson,1,2,50.0,56,0,0,0,0,1,4,4,1,9.0,9.0,81.8%,CIN,8,2023
11,Joey Slye,1,1,100.0,61,0,0,0,0,1,4,4,1,9.0,9.0,0.6%,NE,8,2023
12,Justin Tucker,1,2,50.0,48,0,0,0,1,0,4,4,1,8.0,8.0,98.7%,BAL,8,2023
13,Dustin Hopkins,2,2,100.0,27,0,2,0,0,0,2,2,1,8.0,8.0,29.1%,CLE,8,2023
14,Blake Grupe,1,1,100.0,27,0,1,0,0,0,5,5,1,8.0,8.0,3.9%,NO,8,2023
15,Greg Zuerlein,2,2,100.0,35,0,0,2,0,0,1,1,1,7.0,7.0,43.8%,NYJ,8,2023
16,Lucas Havrisik,2,2,100.0,47,0,0,1,1,0,0,0,1,7.0,7.0,2.1%,FA,8,2023
17,Jason Sanders,1,1,100.0,30,0,0,1,0,0,4,4,1,7.0,7.0,46.2%,MIA,8,2023
18,Greg Joseph,1,3,33.3,25,0,1,0,0,0,3,3,1,6.0,6.0,3.7%,GB,8,2023
19,Wil Lutz,1,2,50.0,28,0,1,0,0,0,3,3,1,6.0,6.0,10.3%,DEN,8,2023
20,Chase McLaughlin,1,2,50.0,57,0,0,0,0,1,1,1,1,6.0,6.0,6.8%,TB,8,2023
21,Tyler Bass,1,1,100.0,37,0,0,1,0,0,3,3,1,6.0,6.0,45.5%,BUF,8,2023
22,Jason Myers,1,1,100.0,32,0,0,1,0,0,3,3,1,6.0,6.0,32.1%,SEA,8,2023
23,Matt Prater,1,1,100.0,47,0,0,0,1,0,1,1,1,5.0,5.0,1.7%,ARI,8,2023
24,Chad Ryland,1,1,100.0,38,0,0,1,0,0,2,2,1,5.0,5.0,0.4%,NE,8,2023
25,Jake Moody,1,1,100.0,36,0,0,1,0,0,2,2,1,5.0,5.0,72.1%,SF,8,2023
26,Nick Folk,0,0,0.0,0,0,0,0,0,0,4,4,1,4.0,4.0,9.5%,TEN,8,2023
27,Anders Carlson,1,1,100.0,30,0,0,1,0,0,1,1,1,4.0,4.0,2.0%,GB,8,2023
28,Graham Gano,1,3,33.3,31,0,0,1,0,0,1,1,1,4.0,4.0,1.3%,NYG,8,2023
29,Chris Boswell,1,2,50.0,22,0,1,0,0,0,1,1,1,4.0,4.0,17.2%,PIT,8,2023
30,Daniel Carlson,0,0,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,24.2%,LV,8,2023
31,Cairo Santos,0,0,0.0,0,0,0,0,0,0,1,1,1,1.0,1.0,26.6%,CHI,8,2023
