Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS.1,Y/R,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Saquon Barkley,14,83,5.9,36,4,0,4,5,57,14.3,2,0,1,30.0,30.0,100.0%,PHI,11,2023
2,Jaylen Warren,9,129,14.3,74,5,1,3,3,16,5.3,0,0,1,23.5,23.5,84.7%,PIT,11,2023
3,Jahmyr Gibbs,8,36,4.5,14,0,1,6,6,59,9.8,0,0,1,21.5,21.5,99.3%,DET,11,2023
4,Christian McCaffrey,21,78,3.7,12,0,0,5,5,25,5.0,1,0,1,21.3,21.3,100.0%,SF,11,2023
5,Joe Mixon,16,69,4.3,14,0,0,5,5,31,6.2,1,0,1,21.0,21.0,99.1%,HOU,11,2023
6,Gus Edwards,12,62,5.2,26,1,2,2,2,8,4.0,0,0,1,21.0,21.0,80.8%,LAC,11,2023
7,Brian Robinson Jr.,17,73,4.3,18,0,0,7,9,59,8.4,0,0,1,20.2,20.2,86.1%,WAS,11,2023
8,Devin Singletary,22,112,5.1,21,1,1,2,2,6,3.0,0,0,1,19.8,19.8,83.7%,NYG,11,2023
9,D'Andre Swift,12,76,6.3,35,2,1,3,3,31,10.3,0,0,1,19.7,19.7,93.8%,CHI,11,2023
10,James Cook,17,73,4.3,12,0,0,3,4,29,9.7,1,0,1,19.2,19.2,97.8%,BUF,11,2023
11,Breece Hall,10,23,2.3,14,0,0,5,6,50,10.0,1,0,1,18.3,18.3,98.9%,NYJ,11,2023
12,Tony Pollard,12,61,5.1,22,2,1,4,5,19,4.8,0,0,1,18.0,18.0,93.4%,TEN,11,2023
13,Rachaad White,9,30,3.3,7,0,1,6,7,28,4.7,0,0,1,17.8,17.8,97.5%,TB,11,2023
14,David Montgomery,12,76,6.3,20,1,1,2,2,22,11.0,0,0,1,17.8,17.8,93.2%,DET,11,2023
15,Ty Chandler,10,73,7.3,31,2,0,4,4,37,9.3,0,0,1,15.0,15.0,60.9%,MIN,11,2023
16,Ty Johnson,3,11,3.7,13,0,0,3,3,47,15.7,1,0,1,14.8,14.8,0.6%,BUF,11,2023
17,Samaje Perine,1,7,7.0,7,0,0,7,7,60,8.6,0,0,1,13.7,13.7,12.7%,DEN,11,2023
18,Darrell Henderson Jr.,6,1,0.2,4,0,1,4,7,28,7.0,0,0,1,12.9,12.9,5.0%,FA,11,2023
19,Zach Charbonnet,15,47,3.1,11,0,0,6,6,22,3.7,0,0,1,12.9,12.9,63.1%,SEA,11,2023
20,Salvon Ahmed,3,6,2.0,3,0,0,3,3,25,8.3,1,0,1,12.1,12.1,0.6%,MIA,11,2023
21,Jerome Ford,12,31,2.6,13,0,1,2,5,8,4.0,0,0,1,11.9,11.9,79.9%,CLE,11,2023
22,Raheem Mostert,22,86,3.9,10,0,0,1,2,7,7.0,0,0,1,10.3,10.3,91.5%,MIA,11,2023
23,Isiah Pacheco,19,89,4.7,24,1,0,1,1,2,2.0,0,0,1,10.1,10.1,97.8%,KC,11,2023
24,AJ Dillon,14,29,2.1,6,0,0,4,4,32,8.0,0,0,1,10.1,10.1,35.2%,GB,11,2023
25,Travis Etienne Jr.,14,52,3.7,11,0,0,3,3,7,2.3,0,0,1,8.9,8.9,99.7%,JAC,11,2023
26,Chuba Hubbard,10,57,5.7,14,0,0,2,2,8,4.0,0,0,1,8.5,8.5,51.0%,CAR,11,2023
27,James Conner,14,62,4.4,14,0,0,2,3,1,0.5,0,0,1,8.3,8.3,91.7%,ARI,11,2023
28,D'Onta Foreman,6,14,2.3,13,0,1,0,0,0,0.0,0,0,1,7.4,7.4,19.4%,CLE,11,2023
29,Javonte Williams,11,37,3.4,15,0,0,2,2,16,8.0,0,0,1,7.3,7.3,89.1%,DEN,11,2023
30,Royce Freeman,17,73,4.3,15,0,0,0,0,0,0.0,0,0,1,7.3,7.3,3.2%,DAL,11,2023
31,Alexander Mattison,18,81,4.5,15,0,0,1,2,-1,-1.0,0,1,1,7.0,7.0,41.3%,LV,11,2023
32,Austin Ekeler,10,64,6.4,37,2,0,2,3,6,3.0,0,1,1,7.0,7.0,93.1%,WAS,11,2023
33,Kareem Hunt,12,36,3.0,16,0,0,3,3,1,0.3,0,0,1,6.7,6.7,27.3%,FA,11,2023
34,Jaleel McLaughlin,1,1,1.0,1,0,0,5,5,14,2.8,0,0,1,6.5,6.5,9.9%,DEN,11,2023
35,D'Ernest Johnson,7,20,2.9,9,0,0,1,1,34,34.0,0,0,1,6.4,6.4,2.7%,JAC,11,2023
36,Miles Sanders,11,50,4.5,15,0,0,1,1,2,2.0,0,0,1,6.2,6.2,23.3%,CAR,11,2023
37,Khalil Herbert,16,35,2.2,9,0,0,2,3,6,3.0,0,0,1,6.1,6.1,29.6%,CHI,11,2023
38,Josh Jacobs,14,39,2.8,9,0,0,1,1,12,12.0,0,0,1,6.1,6.1,97.3%,GB,11,2023
39,Derrick Henry,10,38,3.8,16,0,0,1,2,6,6.0,0,0,1,5.4,5.4,99.3%,BAL,11,2023
40,Keaton Mitchell,8,33,4.1,21,1,0,1,1,8,8.0,0,0,1,5.1,5.1,17.6%,BAL,11,2023
41,Tyjae Spears,4,14,3.5,5,0,0,2,2,12,6.0,0,0,1,4.6,4.6,64.7%,TEN,11,2023
42,Najee Harris,12,35,2.9,17,0,0,1,2,1,1.0,0,0,1,4.6,4.6,91.4%,PIT,11,2023
43,Alec Ingold,0,0,0.0,0,0,0,3,4,16,5.3,0,0,1,4.6,4.6,0.2%,MIA,11,2023
44,Rico Dowdle,8,23,2.9,11,0,0,2,2,-3,-1.5,0,0,1,4.0,4.0,10.6%,DAL,11,2023
45,Chris Rodriguez Jr.,6,43,7.2,16,0,0,1,1,5,5.0,0,1,1,3.8,3.8,1.3%,WAS,11,2023
46,Jerick McKinnon,1,7,7.0,7,0,0,2,3,8,4.0,0,0,1,3.5,3.5,16.2%,FA,11,2023
47,Latavius Murray,10,35,3.5,7,0,0,0,0,0,0.0,0,0,1,3.5,3.5,7.6%,FA,11,2023
48,Emanuel Wilson,3,12,4.0,5,0,0,1,2,9,9.0,0,0,1,3.1,3.1,0.1%,GB,11,2023
49,Tony Jones Jr.,1,10,10.0,10,0,0,1,1,11,11.0,0,0,1,3.1,3.1,0.0%,ARI,11,2023
50,Roschon Johnson,6,30,5.0,14,0,0,0,0,0,0.0,0,0,1,3.0,3.0,14.1%,CHI,11,2023
51,Chase Edmonds,4,8,2.0,3,0,0,1,1,11,11.0,0,0,1,2.9,2.9,0.8%,TB,11,2023
52,Aaron Jones,4,14,3.5,9,0,0,1,2,3,3.0,0,0,1,2.7,2.7,93.3%,MIN,11,2023
53,Kenneth Walker III,4,18,4.5,6,0,0,1,1,-2,-2.0,0,0,1,2.6,2.6,97.1%,SEA,11,2023
54,Israel Abanikanda,1,11,11.0,11,0,0,1,2,5,5.0,0,0,1,2.6,2.6,1.1%,NYJ,11,2023
55,DeeJay Dallas,1,4,4.0,4,0,0,1,1,10,10.0,0,0,1,2.4,2.4,0.6%,ARI,11,2023
56,Elijah Mitchell,4,24,6.0,13,0,0,0,0,0,0.0,0,0,1,2.4,2.4,8.9%,SF,11,2023
57,Derrick Gore,2,23,11.5,23,1,0,0,0,0,0.0,0,0,1,2.3,2.3,0.0%,FA,11,2023
58,Tank Bigsby,9,21,2.3,6,0,0,0,0,0,0.0,0,0,1,2.1,2.1,3.9%,JAC,11,2023
59,Clyde Edwards-Helaire,2,20,10.0,12,0,0,0,0,0,0.0,0,0,1,2.0,2.0,23.7%,KC,11,2023
60,Trayveon Williams,2,20,10.0,15,0,0,0,0,0,0.0,0,0,1,2.0,2.0,0.3%,CIN,11,2023
61,Justice Hill,1,1,1.0,1,0,0,1,1,6,6.0,0,0,1,1.7,1.7,10.1%,BAL,11,2023
62,Mike Boone,1,0,0.0,0,0,0,1,1,5,5.0,0,0,1,1.5,1.5,0.0%,CAR,11,2023
63,Kenneth Gainwell,1,1,1.0,1,0,0,1,1,4,4.0,0,0,1,1.5,1.5,14.8%,PHI,11,2023
64,Pierre Strong Jr.,1,1,1.0,1,0,0,1,1,4,4.0,0,0,1,1.5,1.5,0.6%,CLE,11,2023
65,De'Von Achane,1,1,1.0,1,0,0,1,1,4,4.0,0,0,1,1.5,1.5,95.6%,MIA,11,2023
66,Ameer Abdullah,0,0,0.0,0,0,0,1,1,4,4.0,0,0,1,1.4,1.4,0.7%,LV,11,2023
67,Dalvin Cook,2,13,6.5,10,0,0,0,1,0,0.0,0,0,1,1.3,1.3,9.5%,FA,11,2023
68,Joshua Kelley,6,13,2.2,7,0,0,0,0,0,0.0,0,0,1,1.3,1.3,6.6%,FA,11,2023
69,Boston Scott,2,8,4.0,4,0,0,0,0,0,0.0,0,0,1,0.8,0.8,0.1%,LAR,11,2023
70,Trey Sermon,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.9%,IND,11,2023
71,Darrynton Evans,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.1%,BUF,11,2023
72,Anthony McFarland Jr.,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%,FA,11,2023
73,La'Mical Perine,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.2%,PIT,11,2023
74,J.J. Taylor,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.1%,HOU,11,2023
75,Zack Moss,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,75.1%,CIN,11,2023
76,J.K. Dobbins,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,43.4%,LAC,11,2023
77,Jonathan Taylor,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,98.8%,IND,11,2023
78,Antonio Gibson,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,53.3%,NE,11,2023
79,Patrick Taylor Jr.,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,2.0%,SF,11,2023
80,James Robinson,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.1%,NO,11,2023
81,Mike Weber,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,NYG,11,2023
