Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
2014,382.624,384.089,386.479,387.636,390.129,390.559,390.937,390.63,391.05,390.614,388.302,386.484,388.294,386.919,389.67
2015,385.227,387.539,390.678,391.668,394.779,394.95,396.093,395.603,394.827,394.963,394.007,393.498,392.819,390.807,394.832
2016,395.382,395.739,396.681,398.597,400.644,401.246,401.484,401.684,402.873,403.945,403.218,403.328,400.402,398.048,402.755
2017,405.426,407.752,408.878,410.263,411.191,411.335,411.722,412.649,414.625,415.786,415.629,415.987,411.77,409.141,414.4
2018,418.073,420.252,421.883,423.568,425.513,426.308,426.695,427.38,428.528,430.289,429.421,428.696,425.551,422.6,428.502
2019,429.366,430.322,432.189,435.668,437.862,437.988,438.103,438.483,439.839,442.137,441.496,440.616,437.006,433.899,440.112
2020,441.839,443.572,442.898,441.149,441.39,443.156,445.488,446.855,446.821,447.555,447.552,447.097,444.614,442.334,446.895
2021,448.139,450.506,453.614,458.273,461.969,465.962,468.547,469.404,470.472,474.26,476.829,478.633,464.717,456.411,473.024
2022,482.84,486.805,493.149,496.483,500.524,506.748,507.484,507.585,509.331,512.896,510.665,508.532,501.92,494.425,509.416
2023,513.185,515.856,518.418,520.798,522.96,524.452,525.126,527.34,529.372,529.722,527.444,526.851,523.46,519.278,527.643
2024,530.28,532.359,536.985,,,,,,,,,,,,
