Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
2014,236.574,237.27,238.072,238.86,239.57,239.762,239.967,240.27,240.894,241.613,241.536,241.484,239.656,238.351,240.961
2015,242.047,243.137,243.653,244.516,244.871,245.143,245.488,245.659,246.393,247.346,247.467,247.391,245.259,243.895,246.624
2016,248.555,249.793,250.06,250.593,251.334,251.419,251.595,252.09,252.668,253.22,253.197,253.565,251.507,250.292,252.723
2017,254.573,255.978,256.418,257.087,257.35,257.508,258.07,258.492,259.236,260.273,260.214,260.653,257.988,256.486,259.49
2018,261.831,262.878,263.788,264.114,264.702,265.061,265.503,266.01,266.84,267.708,267.68,267.943,265.338,263.729,266.947
2019,269.081,269.986,270.786,271.552,272.109,272.707,273.171,273.838,274.619,275.227,275.079,275.28,272.786,271.037,274.536
2020,276.317,277.645,277.685,277.889,278.173,278.718,279.831,280.578,280.516,281.074,281.3,280.958,279.224,277.738,280.71
2021,281.271,282.229,282.978,285.618,287.446,289.794,290.999,291.298,291.996,294.146,295.52,296.741,289.17,284.889,293.45
2022,299.195,301.662,303.023,304.966,306.854,309.614,311.066,312.536,313.676,314.76,314.877,315.402,308.969,304.219,313.72
2023,317.614,319.491,320.909,322.4,323.648,324.494,324.638,325.45,325.916,326.303,326.202,326.774,323.653,321.426,325.881
2024,329.111,330.269,332.425,,,,,,,,,,,,
