Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
2014,236.337,237.27,238.849,239.544,241.111,241.477,241.544,241.101,241.346,240.891,239.208,237.75,239.702,239.098,240.307
2015,236.753,238.434,240.824,241.495,243.761,243.79,244.577,244.096,243.279,243.213,242.648,242.386,242.105,240.843,243.367
2016,243.561,243.73,244.57,245.92,247.401,247.878,248.063,248.261,249.078,249.778,249.395,249.398,247.253,245.51,248.996
2017,250.764,252.238,252.923,253.811,254.479,254.679,254.819,255.484,256.72,257.648,257.59,257.704,254.905,253.149,256.661
2018,258.988,260.568,261.595,262.703,264.12,264.765,264.929,265.282,266.086,267.246,266.572,265.909,264.064,262.123,266.004
2019,266.202,266.743,267.996,270.374,271.864,272.04,272.022,272.339,273.1,274.649,274.249,273.57,271.262,269.203,273.322
2020,274.222,275.184,274.548,272.609,272.536,273.505,275.25,275.95,275.926,276.327,276.506,275.961,274.877,273.767,275.987
2021,276.694,278.202,280.385,283.425,285.844,288.418,289.763,290.295,290.794,293.075,294.627,295.743,287.272,282.161,292.383
2022,298.3,300.624,304.748,306.706,309.031,312.8,312.922,312.659,313.629,315.876,314.217,312.533,309.504,305.368,313.639
2023,315.432,317.006,318.811,320.487,321.901,322.795,323.185,324.573,325.998,326.077,324.626,324.09,322.082,319.405,324.758
2024,326.141,327.598,330.802,,,,,,,,,,,,
