Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
2014,227.55,228.373,229.921,230.679,232.194,232.424,232.666,232.496,232.693,232.431,230.862,229.595,230.99,230.19,231.791
2015,228.753,230.137,232.108,232.528,234.53,234.732,235.399,235.232,234.717,234.618,233.918,233.571,233.354,232.131,234.576
2016,234.724,234.701,235.382,236.552,237.756,238.12,238.262,238.248,238.988,239.671,239.216,239.221,237.57,236.206,238.934
2017,240.525,242.097,242.767,243.609,244.21,244.297,244.432,244.982,246.183,246.875,246.723,246.945,244.47,242.918,246.023
2018,248.172,249.529,250.474,251.555,252.716,253.102,253.359,253.881,254.579,255.646,255.025,254.447,252.707,250.925,254.49
2019,254.814,255.433,256.577,258.646,260.06,260.12,260.103,260.212,261.099,262.221,261.724,260.842,259.321,257.608,261.034
2020,261.485,262.619,262.049,260.972,260.995,262.036,263.401,264.274,264.298,264.901,264.938,264.713,263.057,261.693,264.421
2021,265.309,266.806,268.736,271.611,274.068,276.697,278.336,278.83,279.495,281.786,283.311,284.514,275.792,270.538,281.045
2022,286.903,289.227,293.26,295.328,297.802,301.783,302.196,301.976,302.853,305.272,304.038,302.639,298.606,294.051,303.162
2023,305.55,307.503,308.969,310.36,311.585,312.618,313.133,314.361,315.364,315.562,313.959,313.376,311.862,309.431,314.293
2024,315.543,316.788,319.781,,,,,,,,,,,,
