Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
2014,223.824,224.847,226.609,227.367,229.195,229.285,229.125,228.5,228.499,227.755,225.318,223.389,226.976,226.855,227.098
2015,221.784,223.293,225.665,226.183,228.591,228.409,228.759,227.85,226.802,226.489,225.289,224.322,226.12,225.654,226.585
2016,225.244,224.91,225.29,226.868,227.979,228.026,227.626,227.149,227.554,227.905,226.941,226.273,226.814,226.386,227.241
2017,227.528,228.826,229.46,230.385,230.895,230.569,230.243,230.44,231.883,232.026,231.779,231.566,230.467,229.611,231.323
2018,232.916,234.313,235.254,236.418,237.502,237.654,237.493,237.558,238.155,239.469,238.357,237.358,236.871,235.676,238.065
2019,237.279,237.518,238.575,240.842,242.331,241.887,241.338,241.063,241.866,243.616,242.821,241.905,240.92,239.739,242.102
2020,242.528,243.367,242.825,241.044,240.923,242.407,243.949,245.099,245.148,245.697,245.763,245.337,243.674,242.182,245.166
2021,245.928,247.717,250.091,253.404,256.148,259.03,260.495,260.868,261.325,263.812,265.29,266.166,257.523,252.053,262.993
2022,269.099,271.7,276.446,278.335,281.05,285.454,285.234,284.237,284.606,286.702,283.925,280.773,280.63,277.014,284.246
2023,283.773,284.886,285.929,287.751,289.039,289.655,290.009,291.418,292.414,292.326,289.673,288.635,288.792,286.839,290.746
2024,290.616,291.686,294.462,,,,,,,,,,,,
