Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
2014,154.268,155.164,157.696,159.233,159.521,159.398,158.677,157.57,157.138,155.107,151.14,147.288,156.017,157.547,154.487
2015,143.659,145.965,150.707,150.304,153.862,152.6,153.416,151.914,149.348,147.405,145.727,144.404,149.109,149.516,148.702
2016,144.822,143.228,144.528,146.467,146.866,146.739,146.094,144.956,145.853,146.308,145.361,143.891,145.426,145.442,145.411
2017,145.419,146.96,147.856,148.599,148.284,147.709,146.801,147.061,148.849,148.337,148.525,147.296,147.641,147.471,147.812
2018,148.364,149.99,150.63,152.555,153.527,153.262,152.516,152.071,152.706,154.166,152.561,150.229,151.881,151.388,152.375
2019,149.192,149.264,150.558,153.749,155.636,154.502,153.199,152.675,153.538,155.642,154.565,152.523,152.92,152.15,153.69
2020,152.166,152.699,151.744,148.426,147.347,148.627,150.168,152.004,152.881,152.582,152.149,151.471,151.022,150.168,151.876
2021,152.674,154.189,157.422,160.809,163.864,167.221,168.452,169.787,169.825,171.614,173.224,174.451,165.294,159.363,171.226
2022,176.209,178.753,184.078,184.938,186.692,191.052,189.636,186.834,185.649,187.765,183.364,177.495,184.372,183.62,185.124
2023,177.954,179.572,180.751,182.101,182.993,183.672,183.204,184.076,184.879,183.877,179.8,177.18,181.672,181.174,182.169
2024,177.073,177.38,179.32,,,,,,,,,,,,
