Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
2014,138.29,138.222,138.305,138.348,138.345,138.455,138.469,138.755,139.189,138.608,138.279,138.071,138.445,138.328,138.562
2015,138.286,138.439,138.151,138.366,137.667,137.813,137.604,138.013,138.557,138.708,138.879,138.66,138.262,138.12,138.404
2016,138.896,138.429,138.53,138.508,138.117,137.905,137.394,137.84,137.231,137.05,137.293,137.192,137.865,138.398,137.333
2017,136.46,137.112,135.53,135.177,135.176,135.408,135.565,135.778,136.162,136.464,136.503,136.336,135.973,135.811,136.135
2018,136.314,135.575,135.674,135.561,135.799,135.789,136.063,137.172,138.175,138.038,136.678,137.114,136.496,135.785,137.207
2019,136.832,137.144,136.896,136.774,136.854,137.108,137.607,138.033,138.154,137.928,138.301,137.914,137.462,136.935,137.99
2020,137.876,138.112,138.229,138.623,138.681,138.505,140.134,140.519,140.343,140.777,141.387,141.355,139.545,138.338,140.753
2021,140.694,141.118,139.985,140.214,140.499,140.538,140.4,140.721,142.224,142.045,141.856,141.473,140.981,140.508,141.453
2022,141.489,141.868,141.415,141.206,141.034,141.8,141.617,142.874,143.433,143.188,143.679,143.636,142.27,141.469,143.071
2023,143.907,143.669,143.375,143.837,143.462,143.39,142.905,143.073,143.619,143.24,142.182,142.559,143.268,143.607,142.93
2024,143.688,144.544,144.061,,,,,,,,,,,,
