Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
2014,240.492,241.157,241.972,242.76,244.121,243.685,244.859,246.396,246.725,247.548,247.802,248.679,244.683,242.365,247.002
2015,249.219,249.1,248.281,248.465,248.352,248.831,249.041,249.795,251.284,252.442,251.757,251.102,249.806,248.708,250.904
2016,252.297,252.898,251.809,252.018,251.836,251.503,251.396,251.107,251.375,251.902,251.105,251.557,251.734,252.06,251.407
2017,252.503,253.665,254.373,255.097,255.017,254.351,255.163,255.14,256.241,255.751,255.463,256.376,254.928,254.168,255.689
2018,257.656,257.552,258.422,259.152,258.988,258.621,259.346,260.098,260.238,260.903,261.227,262.181,259.532,258.399,260.666
2019,263.345,264.248,264.728,265.309,265.812,265.355,265.981,265.684,266.908,267.382,266.85,267.096,265.725,264.8,266.65
2020,268.585,270.347,271.333,275.516,276.925,278.677,278.11,279.79,279.73,280.616,279.784,280.962,276.698,273.564,279.832
2021,281.122,282.161,282.539,284.355,285.813,287.615,290.472,291.059,292.714,295.381,297.051,298.185,289.039,283.934,294.144
2022,301.058,304.228,306.818,309.523,312.918,317.106,319.435,321.522,323.196,325.289,325.74,326.66,316.124,308.609,323.64
2023,329.284,331.238,331.258,331.548,332.292,333.399,333.882,335.089,335.38,336.491,335.363,336.099,333.444,331.503,335.384
2024,338.646,338.829,339.395,,,,,,,,,,,,
