Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
2014,242.381,243.007,243.713,242.815,245.24,246.075,247.034,247.359,248.005,248.766,248.633,249.072,246.008,243.872,248.145
2015,250.123,251.248,251.885,252.715,253.79,254.543,255.592,256.383,256.858,257.502,257.121,258.106,254.656,252.384,256.927
2016,259.985,261.126,261.671,261.967,263.822,264.688,265.868,266.962,268.004,269.287,269.068,270.315,265.23,262.21,268.251
2017,271.486,272.828,273.355,274.112,275.281,275.972,277.11,278.205,278.592,280.172,279.617,280.79,276.46,273.839,279.081
2018,282.103,283.071,283.968,284.763,285.962,286.923,287.898,288.932,289.398,290.099,290.141,291.204,287.039,284.465,289.612
2019,292.683,293.93,295.049,295.968,297.487,298.844,300.107,301.0,301.774,302.144,301.908,302.112,298.584,295.66,301.508
2020,303.45,305.03,304.886,305.807,307.387,307.52,308.454,308.782,308.769,308.892,308.596,308.596,307.181,305.68,308.682
2021,309.31,310.182,311.022,312.588,314.363,315.145,316.374,317.48,319.019,321.344,322.805,324.675,316.192,312.102,320.283
2022,327.42,329.267,331.428,333.144,335.311,337.805,339.184,341.297,343.325,345.092,346.277,348.889,338.203,332.396,344.011
2023,353.857,355.153,356.733,357.199,358.482,359.907,361.07,361.936,363.16,364.145,364.859,365.434,360.161,356.889,363.434
2024,368.627,370.012,372.494,,,,,,,,,,,,
