Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
2014,435.73,438.595,438.157,437.756,439.753,440.898,440.896,440.232,442.039,441.619,443.823,446.377,440.49,438.482,442.498
2015,447.286,449.719,450.675,456.01,455.768,453.453,455.089,451.436,451.886,456.524,458.708,459.224,453.815,452.152,455.478
2016,460.641,466.39,464.715,466.222,468.86,469.404,469.671,472.902,473.509,473.706,473.402,474.889,469.526,466.039,473.013
2017,476.005,474.386,475.647,476.828,476.778,476.913,479.489,480.581,482.243,483.541,484.696,484.898,479.334,476.093,482.575
2018,487.607,488.655,491.089,491.184,493.298,496.224,496.037,494.151,495.094,496.643,498.112,500.699,494.066,491.343,496.789
2019,502.208,502.117,503.464,507.429,507.396,507.872,509.995,513.165,512.817,521.163,523.141,530.506,511.773,505.081,518.465
2020,533.905,533.413,536.698,535.571,538.722,540.943,544.125,544.247,543.151,540.015,539.106,537.478,538.948,536.542,541.354
2021,539.245,539.796,541.39,544.218,542.235,540.688,541.222,542.553,543.062,546.468,549.444,548.403,543.227,541.262,545.192
2022,555.913,561.235,562.215,563.983,566.873,567.25,568.682,575.535,581.386,578.273,573.507,574.202,569.088,562.912,575.264
2023,576.065,570.411,574.691,577.995,581.914,580.121,578.175,582.797,590.018,590.688,594.011,598.854,582.978,576.866,589.091
2024,599.698,601.871,601.396,,,,,,,,,,,,
