Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
2014,217.943,219.202,222.441,224.562,225.581,225.444,225.201,224.871,224.793,222.706,218.783,215.043,222.214,222.529,221.9
2015,210.976,212.975,217.779,217.139,221.181,220.002,221.198,220.19,218.196,216.464,214.504,212.867,216.956,216.675,217.237
2016,213.626,211.634,212.485,214.839,215.465,215.667,214.912,213.996,215.718,216.212,214.975,213.387,214.41,213.953,214.867
2017,215.34,217.527,218.913,220.211,219.731,218.986,218.589,219.15,222.191,221.568,221.572,220.251,219.502,218.451,220.554
2018,222.154,224.17,225.082,227.961,229.253,228.753,228.31,228.376,229.819,231.381,229.451,226.607,227.61,226.229,228.991
2019,225.549,225.652,227.473,232.532,234.684,232.62,231.325,230.342,232.299,235.675,234.306,232.319,231.231,229.752,232.711
2020,232.523,233.24,232.275,229.695,228.654,231.393,232.347,234.043,234.416,234.389,233.294,233.136,232.45,231.297,233.604
2021,235.212,237.069,241.273,244.141,245.959,247.797,250.584,251.941,253.2,255.624,257.246,257.616,248.139,241.909,254.369
2022,259.513,263.29,273.103,275.383,278.804,285.238,283.881,280.709,281.818,286.867,282.249,275.595,277.204,272.555,281.853
2023,277.099,280.973,282.737,283.585,284.656,285.567,285.321,287.987,291.197,290.857,285.001,281.772,284.729,282.436,287.023
2024,282.155,282.997,286.292,,,,,,,,,,,,
