Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
2014,197.464,199.096,204.093,207.147,207.865,207.9,206.501,204.859,204.456,200.136,193.178,185.924,201.552,203.928,199.176
2015,178.377,181.969,191.002,189.702,196.912,194.409,196.334,193.957,189.237,185.433,182.593,180.233,188.347,188.729,187.965
2016,180.714,176.818,179.126,183.137,184.319,184.901,183.66,182.336,185.18,185.711,184.231,181.085,182.602,181.503,183.701
2017,183.839,186.725,188.555,190.316,189.503,188.683,187.323,188.311,192.748,192.146,192.421,189.42,189.166,187.937,190.395
2018,191.703,195.279,196.188,200.688,203.034,202.538,201.237,200.694,203.099,205.317,201.737,196.144,199.805,198.238,201.371
2019,193.433,192.926,195.668,203.867,207.196,204.046,201.333,199.853,202.233,207.598,205.518,201.855,201.294,199.523,203.065
2020,201.08,200.95,198.445,190.374,187.254,190.704,192.758,194.407,195.084,194.395,193.319,191.949,194.227,194.801,193.652
2021,195.618,197.997,205.335,208.95,211.029,212.849,215.31,217.345,218.277,220.43,221.877,221.63,212.221,205.296,219.145
2022,222.681,226.845,242.563,244.446,247.677,255.785,251.151,243.561,244.101,251.708,242.932,229.931,241.948,240.0,243.897
2023,230.485,235.533,238.553,239.989,241.239,241.969,241.092,244.773,250.263,248.79,239.499,233.298,240.457,237.961,242.953
2024,231.891,233.284,238.733,,,,,,,,,,,,
