Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
2014,246.534,248.864,254.522,258.272,260.016,260.082,259.945,256.583,253.904,246.587,237.37,228.117,250.9,254.715,247.084
2015,216.045,220.507,233.555,231.423,243.387,241.122,245.071,240.299,231.093,224.525,221.429,219.512,230.664,231.007,230.322
2016,219.885,211.786,214.852,220.811,222.905,225.256,224.469,220.844,223.878,224.277,223.15,220.977,221.091,219.249,222.933
2017,224.928,226.907,229.334,232.804,232.459,231.916,230.3,231.55,236.564,234.429,237.254,235.092,231.961,229.725,234.198
2018,237.208,240.553,241.95,249.022,254.233,255.274,253.126,251.851,252.912,256.007,253.173,246.533,249.32,246.373,252.267
2019,241.088,239.195,242.869,256.106,262.447,257.326,254.234,251.39,252.02,261.427,261.017,255.981,252.925,249.839,256.012
2020,253.48,252.18,248.657,237.95,234.978,240.46,243.754,244.984,244.386,243.316,242.722,242.348,244.101,244.618,243.585
2021,246.701,249.717,260.654,265.557,269.409,272.153,276.448,278.422,278.807,281.599,285.135,285.653,270.855,260.699,281.011
2022,286.167,289.879,314.412,318.396,323.822,336.728,329.662,316.645,316.311,328.539,315.602,295.979,314.345,311.567,317.123
2023,295.533,301.446,306.423,308.455,310.192,311.889,311.86,317.308,325.679,323.193,310.682,302.113,310.398,305.656,315.139
2024,298.102,299.683,307.333,,,,,,,,,,,,
