Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
2014,395.315,397.815,397.667,398.038,397.42,396.164,398.041,399.953,400.006,399.301,398.965,399.426,398.176,397.07,399.282
2015,401.012,401.142,401.413,402.053,401.752,402.541,402.499,401.912,403.489,405.842,405.941,406.063,402.972,401.652,404.291
2016,406.263,405.812,406.765,407.45,407.586,407.374,408.712,408.664,410.321,409.272,410.257,411.13,408.301,406.875,409.726
2017,411.956,412.154,411.921,424.946,423.336,425.12,427.393,425.773,425.862,428.217,428.094,425.924,422.558,418.239,426.877
2018,428.382,433.833,433.408,434.942,434.75,436.019,436.007,436.312,437.335,438.842,440.655,439.672,435.846,433.556,438.137
2019,441.881,443.306,444.421,445.412,446.49,446.371,448.392,450.917,449.522,451.586,455.293,453.836,448.119,444.647,451.591
2020,456.835,458.649,459.989,460.098,459.898,461.65,461.65,458.151,457.191,458.694,459.954,461.308,459.506,459.52,459.491
2021,469.789,473.042,472.339,473.215,473.656,475.949,476.463,476.138,476.856,483.228,483.489,486.793,476.746,472.998,480.495
2022,485.277,490.764,493.279,497.305,499.546,500.908,504.605,508.756,506.461,509.802,513.092,508.085,501.49,494.513,508.467
2023,512.705,515.768,520.785,533.577,537.718,538.391,533.951,546.275,546.692,548.103,549.509,547.52,535.916,526.491,545.342
2024,553.901,540.202,540.609,,,,,,,,,,,,
