Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
2014,274.765,275.548,276.358,276.452,278.903,279.619,280.276,280.341,281.036,281.767,281.662,281.909,279.053,276.941,281.165
2015,282.829,283.959,284.546,285.601,286.924,288.102,288.789,289.332,289.806,290.741,290.89,291.366,287.74,285.327,290.154
2016,293.083,294.21,294.857,295.656,297.715,298.693,299.554,300.579,301.371,302.194,302.232,303.333,298.623,295.702,301.544
2017,304.543,306.169,306.623,307.602,309.065,309.934,310.737,311.652,312.335,314.279,313.983,315.113,310.17,307.323,313.017
2018,316.419,317.878,318.969,319.393,321.147,322.294,323.213,324.408,325.212,326.014,326.034,326.541,322.294,319.35,325.237
2019,327.79,328.703,329.816,331.216,332.431,333.608,334.514,335.364,335.975,336.825,336.873,337.168,333.357,330.594,336.12
2020,338.373,339.575,339.019,338.43,339.011,339.476,341.08,340.737,339.969,341.212,341.98,341.661,340.044,338.981,341.107
2021,341.769,342.976,344.054,346.683,348.647,350.537,351.909,351.586,352.45,354.816,356.118,357.241,349.899,345.778,354.02
2022,359.907,361.605,364.466,367.087,369.635,372.832,374.268,375.643,377.954,380.535,381.819,383.799,372.463,365.922,379.003
2023,388.825,390.792,392.776,394.415,395.961,397.238,398.65,400.114,401.383,402.431,403.36,404.452,397.533,393.335,401.732
2024,408.246,410.475,414.778,,,,,,,,,,,,
