Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
2014,317.529,318.863,319.723,319.002,323.794,324.531,324.457,323.395,323.926,324.417,323.174,322.879,322.141,320.574,323.708
2015,323.522,324.581,324.729,326.987,328.894,330.1,329.763,328.848,328.787,330.462,329.931,329.466,328.006,326.469,329.543
2016,331.083,332.466,332.098,333.772,336.821,337.376,337.268,337.941,337.555,337.637,336.692,336.78,335.624,333.936,337.312
2017,337.665,338.443,338.458,339.783,342.055,342.377,342.371,342.567,343.442,345.234,344.306,345.232,341.828,339.797,343.859
2018,346.931,348.681,350.084,350.002,351.954,353.301,353.751,354.242,354.992,356.282,355.316,355.727,352.605,350.159,355.052
2019,356.645,356.735,357.512,358.724,359.883,360.887,361.099,361.338,361.575,363.142,362.722,363.231,360.291,358.398,362.185
2020,365.163,365.862,365.238,362.787,363.485,364.867,367.48,366.653,365.092,367.12,368.966,367.921,365.886,364.567,367.205
2021,367.521,369.885,371.518,375.052,377.557,379.711,380.216,378.514,378.916,382.183,382.901,382.77,377.229,373.541,380.917
2022,387.531,389.312,393.397,396.432,399.962,403.705,404.055,404.763,407.158,408.954,407.832,407.984,400.924,395.057,406.791
2023,416.078,414.997,416.072,419.58,421.703,421.679,423.63,425.975,427.705,428.928,429.311,431.036,423.058,418.352,427.764
2024,436.415,439.388,444.748,,,,,,,,,,,,
