Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
2014,210.95,212.69,217.079,221.453,223.474,223.193,222.358,218.606,216.202,212.341,205.842,198.919,215.259,218.14,212.378
2015,190.929,194.638,203.799,203.645,212.655,212.102,213.79,209.616,202.729,198.551,197.083,195.062,202.883,202.961,202.805
2016,194.907,190.635,193.69,198.203,200.605,202.092,200.972,197.258,197.574,198.088,197.566,196.162,197.313,196.689,197.937
2017,199.001,201.03,203.506,205.005,206.275,206.034,203.452,203.809,206.646,205.592,207.818,207.212,204.615,203.475,205.755
2018,208.49,211.782,213.377,216.897,220.592,221.744,220.363,219.235,219.326,222.181,221.074,215.713,217.565,215.48,219.649
2019,212.839,212.308,214.635,222.493,226.846,224.419,221.551,219.655,219.408,223.674,223.156,218.713,219.975,218.923,221.026
2020,216.625,216.984,213.878,204.37,200.154,204.029,209.147,210.669,210.598,211.599,212.04,211.613,210.142,209.34,210.944
2021,213.427,216.515,223.648,232.073,239.342,248.397,251.485,249.282,246.721,249.555,253.907,256.142,240.041,228.9,251.182
2022,258.937,261.97,274.446,279.914,285.185,295.312,292.198,283.159,281.109,287.321,278.545,265.654,278.646,275.961,281.331
2023,265.223,268.311,271.597,275.17,277.701,279.39,280.081,282.174,283.269,281.6,275.724,271.388,275.969,272.899,279.039
2024,269.967,274.032,283.47,,,,,,,,,,,,
