Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
2014,,,,,,,,,,,,,270.47,279.152,261.787
2015,,,,,,,,,,,,,250.861,249.757,251.966
2016,,,,,,,,,,,,,229.166,225.813,232.52
2017,,,,,,,,,,,,259.66,251.105,246.783,255.426
2018,265.716,276.214,276.398,282.627,290.98,306.931,303.77,304.707,305.015,302.049,287.885,277.349,289.97,283.144,296.796
2019,267.966,268.524,275.611,304.883,307.044,311.365,307.845,303.176,304.412,320.01,307.509,293.003,297.612,289.232,305.993
2020,288.936,289.23,281.964,248.283,251.387,263.473,271.177,270.999,269.255,269.87,270.547,271.731,270.571,270.546,270.597
2021,280.685,303.681,326.408,330.484,340.164,346.06,350.596,353.361,353.519,359.096,371.285,372.621,340.663,321.247,360.08
2022,392.716,394.056,443.558,444.552,455.966,478.552,454.51,429.937,436.233,459.057,422.19,390.045,433.448,434.9,431.995
2023,442.244,419.642,422.785,422.517,419.892,422.186,425.419,441.624,465.655,466.851,439.189,419.43,433.953,424.878,443.028
2024,391.074,399.855,415.323,,,,,,,,,,,,
